time,duration,string,fret,finger,finger_name
0.000000,0.15,5,6,4,Pinky
0.150000,0.15,4,6,4,Pinky
0.300000,0.15,3,4,3,Ring
0.450000,0.15,4,6,4,Pinky
0.600000,0.09999999999999999,3,4,3,Ring
0.700000,0.09999999999999999,3,6,2,Middle
0.800000,0.09999999999999999,3,4,1,Pointer
0.900000,0.15,4,6,2,Middle
1.050000,0.15,3,4,3,Ring
1.200000,0.15,5,7,4,Pinky
1.350000,0.15,4,6,2,Middle
1.500000,0.15,3,4,3,Ring
1.650000,0.15,4,6,2,Middle
1.800000,0.09999999999999999,3,4,1,Pointer
1.900000,0.09999999999999999,3,6,2,Middle
2.000000,0.09999999999999999,3,4,3,Ring
2.100000,0.15,4,6,2,Middle
2.250000,0.15,3,4,1,Pointer
2.400000,0.15,6,7,4,Pinky
2.550000,0.15,5,6,2,Middle
2.700000,0.15,4,4,1,Pointer
2.850000,0.15,5,6,2,Middle
3.000000,0.09999999999999999,4,4,1,Pointer
3.100000,0.09999999999999999,4,6,2,Middle
3.200000,0.09999999999999999,4,4,1,Pointer
3.300000,0.15,5,6,2,Middle
3.450000,0.15,4,4,1,Pointer
3.600000,0.15,5,9,4,Pinky
3.750000,0.15,4,8,3,Ring
3.900000,0.15,3,6,2,Middle
4.050000,0.15,4,8,3,Ring
4.200000,0.09999999999999999,3,6,2,Middle
4.300000,0.09999999999999999,3,8,3,Ring
4.400000,0.09999999999999999,3,6,2,Middle
4.500000,0.15,4,8,3,Ring
4.650000,0.15,3,6,2,Middle
4.800000,0.15,5,6,2,Middle
4.950000,0.15,4,6,2,Middle
5.100000,0.15,3,4,1,Pointer
5.250000,0.15,4,6,2,Middle
5.400000,0.09999999999999999,3,4,1,Pointer
5.500000,0.09999999999999999,3,6,2,Middle
5.600000,0.09999999999999999,3,4,1,Pointer
5.700000,0.15,4,6,2,Middle
5.850000,0.15,3,4,1,Pointer
6.000000,0.15,5,7,3,Ring
6.150000,0.15,4,6,2,Middle
6.300000,0.15,3,4,1,Pointer
6.450000,0.15,4,6,2,Middle
6.600000,0.09999999999999999,3,4,1,Pointer
6.700000,0.09999999999999999,3,6,2,Middle
6.800000,0.09999999999999999,3,4,1,Pointer
6.900000,0.15,4,6,2,Middle
7.050000,0.15,3,4,1,Pointer
7.200000,0.15,6,7,3,Ring
7.350000,0.15,5,6,2,Middle
7.500000,0.15,4,4,1,Pointer
7.650000,0.15,5,6,2,Middle
7.800000,0.09999999999999999,4,4,1,Pointer
7.900000,0.09999999999999999,4,6,2,Middle
8.000000,0.09999999999999999,4,4,1,Pointer
8.100000,0.15,5,6,2,Middle
8.250000,0.15,4,4,1,Pointer
8.400000,0.15,6,6,2,Middle
8.550000,0.15,5,4,1,Pointer
8.700000,0.15,4,4,1,Pointer
8.850000,0.15,5,4,1,Pointer
9.000000,0.09999999999999999,4,4,1,Pointer
9.100000,0.09999999999999999,4,6,2,Middle
9.200000,0.09999999999999999,4,4,1,Pointer
9.300000,0.15,5,4,1,Pointer
9.450000,0.15,4,4,1,Pointer
9.600000,0.15,5,6,2,Middle
9.750000,0.15,4,6,2,Middle
9.900000,0.15,3,4,1,Pointer
10.050000,0.15,4,6,2,Middle
10.200000,0.09999999999999999,3,4,1,Pointer
10.300000,0.09999999999999999,3,6,2,Middle
10.400000,0.09999999999999999,3,4,1,Pointer
10.500000,0.15,4,6,2,Middle
10.650000,0.15,3,4,1,Pointer
10.800000,0.15,5,7,3,Ring
10.950000,0.15,4,6,2,Middle
11.100000,0.15,3,4,1,Pointer
11.250000,0.15,4,6,2,Middle
11.400000,0.09999999999999999,3,4,1,Pointer
11.500000,0.09999999999999999,3,6,2,Middle
11.600000,0.09999999999999999,3,4,1,Pointer
11.700000,0.15,4,6,2,Middle
11.850000,0.15,3,4,1,Pointer
12.000000,0.15,6,7,3,Ring
12.150000,0.15,5,6,2,Middle
12.300000,0.15,4,4,1,Pointer
12.450000,0.15,5,6,2,Middle
12.600000,0.09999999999999999,4,4,1,Pointer
12.700000,0.09999999999999999,4,6,2,Middle
12.800000,0.09999999999999999,4,4,1,Pointer
12.900000,0.15,5,6,2,Middle
13.050000,0.15,4,4,1,Pointer
13.200000,0.15,5,9,4,Pinky
13.350000,0.15,4,8,3,Ring
13.500000,0.15,3,6,2,Middle
13.650000,0.15,4,8,3,Ring
13.800000,0.09999999999999999,3,6,2,Middle
13.900000,0.09999999999999999,3,8,3,Ring
14.000000,0.09999999999999999,3,6,2,Middle
14.100000,0.15,4,8,3,Ring
14.250000,0.15,3,6,2,Middle
14.400000,0.15,5,6,2,Middle
14.550000,0.15,4,6,2,Middle
14.700000,0.15,3,4,1,Pointer
14.850000,0.15,4,6,2,Middle
15.000000,0.09999999999999999,3,4,1,Pointer
15.100000,0.09999999999999999,3,6,2,Middle
15.200000,0.09999999999999999,3,4,1,Pointer
15.300000,0.15,4,6,2,Middle
15.450000,0.15,3,4,1,Pointer
15.600000,0.15,5,7,3,Ring
15.750000,0.15,4,6,2,Middle
15.900000,0.15,3,4,1,Pointer
16.050000,0.15,4,6,2,Middle
16.200000,0.09999999999999999,3,4,1,Pointer
16.300000,0.09999999999999999,3,6,2,Middle
16.400000,0.09999999999999999,3,4,1,Pointer
16.500000,0.15,4,6,2,Middle
16.650000,0.15,3,4,1,Pointer
16.800000,0.15,6,7,3,Ring
16.950000,0.15,5,6,2,Middle
17.100000,0.15,4,4,1,Pointer
17.250000,0.15,5,6,2,Middle
17.400000,0.09999999999999999,4,4,1,Pointer
17.500000,0.09999999999999999,4,6,2,Middle
17.600000,0.09999999999999999,4,4,1,Pointer
17.700000,0.15,5,6,2,Middle
17.850000,0.15,4,4,1,Pointer
18.000000,0.15,6,6,2,Middle
18.150000,0.15,5,4,1,Pointer
18.300000,0.15,4,4,1,Pointer
18.450000,0.15,5,4,1,Pointer
18.600000,0.09999999999999999,4,4,1,Pointer
18.700000,0.09999999999999999,4,6,2,Middle
18.800000,0.09999999999999999,4,4,1,Pointer
18.900000,0.15,5,4,1,Pointer
19.050000,0.15,4,4,1,Pointer
19.200000,0.15,5,6,2,Middle
19.350000,0.15,4,6,2,Middle
19.500000,0.15,3,4,1,Pointer
19.650000,0.15,4,6,2,Middle
19.800000,0.09999999999999999,3,4,1,Pointer
19.900000,0.09999999999999999,3,6,2,Middle
20.000000,0.09999999999999999,3,4,1,Pointer
20.100000,0.15,4,6,2,Middle
20.250000,0.15,3,4,1,Pointer
20.400000,0.15,5,7,3,Ring
20.550000,0.15,4,6,2,Middle
20.700000,0.15,3,4,1,Pointer
20.850000,0.15,4,6,2,Middle
21.000000,0.09999999999999999,3,4,1,Pointer
21.100000,0.09999999999999999,3,6,2,Middle
21.200000,0.09999999999999999,3,4,1,Pointer
21.300000,0.15,4,6,2,Middle
21.450000,0.15,3,4,1,Pointer
21.600000,0.15,6,7,3,Ring
21.750000,0.15,5,6,2,Middle
21.900000,0.15,4,4,1,Pointer
22.050000,0.15,5,6,2,Middle
22.200000,0.09999999999999999,4,4,1,Pointer
22.300000,0.09999999999999999,4,6,2,Middle
22.400000,0.09999999999999999,4,4,1,Pointer
22.500000,0.15,5,6,2,Middle
22.650000,0.15,4,4,1,Pointer
22.800000,0.15,5,9,4,Pinky
22.950000,0.15,4,8,3,Ring
23.100000,0.15,3,6,2,Middle
23.250000,0.15,4,8,3,Ring
23.400000,0.09999999999999999,3,6,2,Middle
23.500000,0.09999999999999999,3,8,3,Ring
23.600000,0.09999999999999999,3,6,2,Middle
23.700000,0.15,4,8,3,Ring
23.850000,0.15,3,6,2,Middle
24.000000,0.15,5,6,2,Middle
24.150000,0.15,4,6,2,Middle
24.300000,0.15,3,4,1,Pointer
24.450000,0.15,4,6,2,Middle
24.600000,0.09999999999999999,3,4,1,Pointer
24.700000,0.09999999999999999,3,6,2,Middle
24.800000,0.09999999999999999,3,4,1,Pointer
24.900000,0.15,4,6,2,Middle
25.050000,0.15,3,4,1,Pointer
25.200000,0.15,5,7,3,Ring
25.350000,0.15,4,6,2,Middle
25.500000,0.15,3,4,1,Pointer
25.650000,0.15,4,6,2,Middle
25.800000,0.09999999999999999,3,4,1,Pointer
25.900000,0.09999999999999999,3,6,2,Middle
26.000000,0.09999999999999999,3,4,1,Pointer
26.100000,0.15,4,6,2,Middle
26.250000,0.15,3,4,1,Pointer
26.400000,0.15,6,7,3,Ring
26.550000,0.15,5,6,2,Middle
26.700000,0.15,4,4,1,Pointer
26.850000,0.15,5,6,2,Middle
27.000000,0.09999999999999999,4,4,1,Pointer
27.100000,0.09999999999999999,4,6,2,Middle
27.200000,0.09999999999999999,4,4,1,Pointer
27.300000,0.15,5,6,2,Middle
27.450000,0.15,4,4,1,Pointer
27.600000,0.15,6,6,2,Middle
27.750000,0.15,5,4,1,Pointer
27.900000,0.15,4,4,1,Pointer
28.050000,0.15,5,4,1,Pointer
28.200000,0.09999999999999999,4,4,1,Pointer
28.300000,0.09999999999999999,4,6,2,Middle
28.400000,0.09999999999999999,4,4,1,Pointer
28.500000,0.15,5,4,1,Pointer
28.650000,0.15,4,4,1,Pointer
28.800000,0.15,5,6,2,Middle
28.950000,0.15,4,6,2,Middle
29.100000,0.15,3,4,1,Pointer
29.250000,0.15,4,6,2,Middle
29.400000,0.09999999999999999,3,4,1,Pointer
29.500000,0.09999999999999999,3,6,2,Middle
29.600000,0.09999999999999999,3,4,1,Pointer
29.700000,0.15,4,6,2,Middle
29.850000,0.15,3,4,1,Pointer
30.000000,0.15,5,7,3,Ring
30.150000,0.15,4,6,2,Middle
30.300000,0.15,3,4,1,Pointer
30.450000,0.15,4,6,2,Middle
30.600000,0.09999999999999999,3,4,1,Pointer
30.700000,0.09999999999999999,3,6,2,Middle
30.800000,0.09999999999999999,3,4,1,Pointer
30.900000,0.15,4,6,2,Middle
31.050000,0.15,3,4,1,Pointer
31.200000,0.15,6,7,3,Ring
31.350000,0.15,5,6,2,Middle
31.500000,0.15,4,4,1,Pointer
31.650000,0.15,5,6,2,Middle
31.800000,0.09999999999999999,4,4,1,Pointer
31.900000,0.09999999999999999,4,6,2,Middle
32.000000,0.09999999999999999,4,4,1,Pointer
32.100000,0.15,5,6,2,Middle
32.250000,0.15,4,4,1,Pointer
32.400000,0.15,5,9,4,Pinky
32.550000,0.15,4,8,3,Ring
32.700000,0.15,3,6,2,Middle
32.850000,0.15,4,8,3,Ring
33.000000,0.09999999999999999,3,6,2,Middle
33.100000,0.09999999999999999,3,8,3,Ring
33.200000,0.09999999999999999,3,6,2,Middle
33.300000,0.15,4,8,3,Ring
33.450000,0.15,3,6,2,Middle
33.600000,0.15,5,6,2,Middle
33.750000,0.15,4,6,2,Middle
33.900000,0.15,3,4,1,Pointer
34.050000,0.15,4,6,2,Middle
34.200000,0.09999999999999999,3,4,1,Pointer
34.300000,0.09999999999999999,3,6,2,Middle
34.400000,0.09999999999999999,3,4,1,Pointer
34.500000,0.15,4,6,2,Middle
34.650000,0.15,3,4,1,Pointer
34.800000,0.15,5,7,3,Ring
34.950000,0.15,4,6,2,Middle
35.100000,0.15,3,4,1,Pointer
35.250000,0.15,4,6,2,Middle
35.400000,0.09999999999999999,3,4,1,Pointer
35.500000,0.09999999999999999,3,6,2,Middle
35.600000,0.09999999999999999,3,4,1,Pointer
35.700000,0.15,4,6,2,Middle
35.850000,0.15,3,4,1,Pointer
36.000000,0.15,6,7,3,Ring
36.150000,0.15,5,6,2,Middle
36.300000,0.15,4,4,1,Pointer
36.450000,0.15,5,6,2,Middle
36.600000,0.09999999999999999,4,4,1,Pointer
36.700000,0.09999999999999999,4,6,2,Middle
36.800000,0.09999999999999999,4,4,1,Pointer
36.900000,0.15,5,6,2,Middle
37.050000,0.15,4,4,1,Pointer
37.200000,0.15,6,6,2,Middle
37.350000,0.15,5,4,1,Pointer
37.500000,0.15,4,4,1,Pointer
37.650000,0.15,5,4,1,Pointer
37.800000,0.09999999999999999,4,4,1,Pointer
37.900000,0.09999999999999999,4,6,2,Middle
38.000000,0.09999999999999999,4,4,1,Pointer
38.100000,0.15,5,4,1,Pointer
38.250000,0.15,4,4,1,Pointer
38.400000,0.15,5,6,2,Middle
38.550000,0.15,4,6,2,Middle
38.700000,0.15,3,4,1,Pointer
38.850000,0.15,4,6,2,Middle
39.000000,0.09999999999999999,3,4,1,Pointer
39.100000,0.09999999999999999,3,6,2,Middle
39.200000,0.09999999999999999,3,4,1,Pointer
39.300000,0.15,4,6,2,Middle
39.450000,0.15,3,4,1,Pointer
39.600000,0.15,5,7,3,Ring
39.750000,0.15,4,6,2,Middle
39.900000,0.15,3,4,1,Pointer
40.050000,0.15,4,6,2,Middle
40.200000,0.09999999999999999,3,4,1,Pointer
40.300000,0.09999999999999999,3,6,2,Middle
40.400000,0.09999999999999999,3,4,1,Pointer
40.500000,0.15,4,6,2,Middle
40.650000,0.15,3,4,1,Pointer
40.800000,0.15,6,7,3,Ring
40.950000,0.15,5,6,2,Middle
41.100000,0.15,4,4,1,Pointer
41.250000,0.15,5,6,2,Middle
41.400000,0.09999999999999999,4,4,1,Pointer
41.500000,0.09999999999999999,4,6,2,Middle
41.600000,0.09999999999999999,4,4,1,Pointer
41.700000,0.15,5,6,2,Middle
41.850000,0.15,4,4,1,Pointer
42.000000,0.15,5,9,4,Pinky
42.150000,0.15,4,8,3,Ring
42.300000,0.15,3,6,2,Middle
42.450000,0.15,4,8,3,Ring
42.600000,0.09999999999999999,3,6,2,Middle
42.700000,0.09999999999999999,3,8,3,Ring
42.800000,0.09999999999999999,3,6,2,Middle
42.900000,0.15,4,8,3,Ring
43.050000,0.15,3,6,2,Middle
43.200000,0.15,5,6,2,Middle
43.350000,0.15,4,6,2,Middle
43.500000,0.15,3,4,1,Pointer
43.650000,0.15,4,6,2,Middle
43.800000,0.09999999999999999,3,4,1,Pointer
43.900000,0.09999999999999999,3,6,2,Middle
44.000000,0.09999999999999999,3,4,1,Pointer
44.100000,0.15,4,6,2,Middle
44.250000,0.15,3,4,1,Pointer
44.400000,0.15,5,7,3,Ring
44.550000,0.15,4,6,2,Middle
44.700000,0.15,3,4,1,Pointer
44.850000,0.15,4,6,2,Middle
45.000000,0.09999999999999999,3,4,1,Pointer
45.100000,0.09999999999999999,3,6,2,Middle
45.200000,0.09999999999999999,3,4,1,Pointer
45.300000,0.15,4,6,2,Middle
45.450000,0.15,3,4,1,Pointer
45.600000,0.15,6,7,3,Ring
45.750000,0.15,5,6,2,Middle
45.900000,0.15,4,4,1,Pointer
46.050000,0.15,5,6,2,Middle
46.200000,0.09999999999999999,4,4,1,Pointer
46.300000,0.09999999999999999,4,6,2,Middle
46.400000,0.09999999999999999,4,4,1,Pointer
46.500000,0.15,5,6,2,Middle
46.650000,0.15,4,4,1,Pointer
46.800000,0.15,6,6,2,Middle
46.950000,0.15,5,4,1,Pointer
47.100000,0.15,4,4,1,Pointer
47.250000,0.15,5,4,1,Pointer
47.400000,0.09999999999999999,4,4,1,Pointer
47.500000,0.09999999999999999,4,6,2,Middle
47.600000,0.09999999999999999,4,4,1,Pointer
47.700000,0.15,5,4,1,Pointer
47.850000,0.15,4,4,1,Pointer
48.000000,0.15,5,6,2,Middle
48.150000,0.15,4,6,2,Middle
48.300000,0.15,3,4,1,Pointer
48.450000,0.15,4,6,2,Middle
48.600000,0.09999999999999999,3,4,1,Pointer
48.700000,0.09999999999999999,3,6,2,Middle
48.800000,0.09999999999999999,3,4,1,Pointer
48.900000,0.15,4,6,2,Middle
49.050000,0.15,3,4,1,Pointer
49.200000,0.15,5,7,3,Ring
49.350000,0.15,4,6,2,Middle
49.500000,0.15,3,4,1,Pointer
49.650000,0.15,4,6,2,Middle
49.800000,0.09999999999999999,3,4,1,Pointer
49.900000,0.09999999999999999,3,6,2,Middle
50.000000,0.09999999999999999,3,4,1,Pointer
50.100000,0.15,4,6,2,Middle
50.250000,0.15,3,4,1,Pointer
50.400000,0.15,6,7,3,Ring
50.550000,0.15,5,6,2,Middle
50.700000,0.15,4,4,1,Pointer
50.850000,0.15,5,6,2,Middle
51.000000,0.09999999999999999,4,4,1,Pointer
51.100000,0.09999999999999999,4,6,2,Middle
51.200000,0.09999999999999999,4,4,1,Pointer
