time,duration,string,fret,finger
0.000000,0.15,5,6,4
0.150000,0.15,4,6,4
0.300000,0.15,3,4,3
0.450000,0.15,4,6,4
0.600000,0.09999999999999999,3,4,3
0.700000,0.09999999999999999,3,6,4
0.800000,0.09999999999999999,3,4,3
0.900000,0.15,4,6,2
1.050000,0.15,3,4,3
1.200000,0.15,5,7,4
1.350000,0.15,4,6,2
1.500000,0.15,3,4,3
1.650000,0.15,4,6,2
1.800000,0.09999999999999999,3,4,3
1.900000,0.09999999999999999,3,6,2
2.000000,0.09999999999999999,3,4,3
2.100000,0.15,4,6,2
2.250000,0.15,3,4,3
2.400000,0.15,6,7,4
2.550000,0.15,5,6,2
2.700000,0.15,4,4,3
2.850000,0.15,5,6,2
3.000000,0.09999999999999999,4,4,3
3.100000,0.09999999999999999,4,6,2
3.200000,0.09999999999999999,4,4,1
3.300000,0.15,5,6,2
3.450000,0.15,4,4,1
3.600000,0.15,5,9,4
3.750000,0.15,4,8,3
3.900000,0.15,3,6,2
4.050000,0.15,4,8,3
4.200000,0.09999999999999999,3,6,2
4.300000,0.09999999999999999,3,8,3
4.400000,0.09999999999999999,3,6,2
4.500000,0.15,4,8,3
4.650000,0.15,3,6,2
4.800000,0.15,5,6,2
4.950000,0.15,4,6,2
5.100000,0.15,3,4,1
5.250000,0.15,4,6,2
5.400000,0.09999999999999999,3,4,1
5.500000,0.09999999999999999,3,6,2
5.600000,0.09999999999999999,3,4,1
5.700000,0.15,4,6,2
5.850000,0.15,3,4,1
6.000000,0.15,5,7,3
6.150000,0.15,4,6,2
6.300000,0.15,3,4,1
6.450000,0.15,4,6,2
6.600000,0.09999999999999999,3,4,1
6.700000,0.09999999999999999,3,6,2
6.800000,0.09999999999999999,3,4,1
6.900000,0.15,4,6,2
7.050000,0.15,3,4,1
7.200000,0.15,6,7,3
7.350000,0.15,5,6,2
7.500000,0.15,4,4,1
7.650000,0.15,5,6,2
7.800000,0.09999999999999999,4,4,1
7.900000,0.09999999999999999,4,6,2
8.000000,0.09999999999999999,4,4,1
8.100000,0.15,5,6,2
8.250000,0.15,4,4,1
8.400000,0.15,6,6,2
8.550000,0.15,5,4,1
8.700000,0.15,4,4,1
8.850000,0.15,5,4,1
9.000000,0.09999999999999999,4,4,1
9.100000,0.09999999999999999,4,6,2
9.200000,0.09999999999999999,4,4,1
9.300000,0.15,5,4,1
9.450000,0.15,4,4,1
9.600000,0.15,5,6,2
9.750000,0.15,4,6,2
9.900000,0.15,3,4,1
10.050000,0.15,4,6,2
10.200000,0.09999999999999999,3,4,1
10.300000,0.09999999999999999,3,6,2
10.400000,0.09999999999999999,3,4,1
10.500000,0.15,4,6,2
10.650000,0.15,3,4,1
10.800000,0.15,5,7,3
10.950000,0.15,4,6,2
11.100000,0.15,3,4,1
11.250000,0.15,4,6,2
11.400000,0.09999999999999999,3,4,1
11.500000,0.09999999999999999,3,6,2
11.600000,0.09999999999999999,3,4,1
11.700000,0.15,4,6,2
11.850000,0.15,3,4,1
12.000000,0.15,6,7,3
12.150000,0.15,5,6,2
12.300000,0.15,4,4,1
12.450000,0.15,5,6,2
12.600000,0.09999999999999999,4,4,1
